ശ്രീ,ഗം,G
ഖഗ,ലം,L
ശ്രീ,ഗഗം,GG
ശിവ,ലലം,LL
നാരി മാകന്ദം ,മം,M
മൃഗി രമണം ,രം,R
യുവത്വം,യം,Y
നയന ,നം,N
ജാലകം,ജം,J
സതതം ,സം,S
ഭാസുര ,ഭം,B
തരംഗ,തം,T
കന്യാ ,മഗം,MG
വേണീ ,തഗം,TG
ഗൗരി ,മഗഗം,MGG
മാല ,ജഗഗം,JGG
തനുമദ്ധ്യ ,തയം,TY
വസുമതി ,തസം,TS
രത്നാവലി ,രരം,RR
മദലേഖാ ,മസഗം,MSG
മധുമതി ,നഭഗം,NBG
ഹംസമാല ,സരഗം,SRG
വിദ്യുന്മാല ,മമഗഗം,MMGG
ചിത്രപദ ,ഭഭഗം,BBG
മാണവകം ,ഭത ലഗം,BTLG
സമാനിക ,രജ ഗലം,RJGL
പ്രമാണിക,ജര ലഗം ,JRLG
നാരാചിക,തര ലഗം ,TRLG
കബരി ,തജ ലഗം,TJLG
ഹംസരുത ,മന ഗഗം,MNGG
വിതാനം ,ജത ഗഗം ,JTGG
നാഗരികം ,ഭര ലഗം ,BRLG
രമണീയം ,മന യം ,MNY
മണിമദ്ധ്യം ,ഭമ സം ,BMS
ഫലമുഖി ,രന സം,RNS
ശിശുഭൃത,നന മം,NNM
ഭദ്രികാ ,രന രം,RNR
സുമുഖി ,സസ ജഗം,SSJG
ചമ്പകമാല ,ഭമ സഗം ,BMSG
മത്താവൃത്തം ,മഭ സഗം  ,MBSG
ശുദ്ധവിരാൾ  ,മസ ജഗം,MSJG
മയൂര സാരിണി   ,രജ രഗം,RJRG
മനോരമ ,നര ജഗം ,NRJG
സാരവതി ,ഭഭ ഭഗം ,BBBG
സുഷമ  ,തയ ഭഗം ,TYBG
വാതോർമി  ,മഭത ഗഗം  ,MBTGG
കേളീന്ദ്രവജ്ര ,തത ജഗഗം ,TTJGG
ഉപേന്ദ്രവജ്ര ,ജത ജഗഗം,JTJGG
ദോതകം  ,ഭഭഭ ഗഗം,BBBGG
ശാലിനി  ,മതത ഗഗം,MTTGG
സ്വാഗത,രനഭ ഗഗം,RNBGG
രഥോദ്ധത  ,നനര ലഗം,NNRLG
ഭ്രമര വിലസിതം ,മഭന ലഗം ,MBNLG
മൗക്തിക മാല(ശ്രീ),ഭതന ഗഗം ,BTNGG
കേരളി ,ജതത ഗഗം ,JTTLG
സുമുഖി ,നജജ ഗഗം ,NJJGG
മൗക്തിക പംക്തി ,നയഭ ഗഗം ,NYBGG
ശേനികാഘ്യ ,രജര ലഗം ,RJRLG
സമ്മതാഭിധം ,നരര ലഗം ,NRRLG
കുമാരി ,യയയ ലഗം ,YYYLG
ഉപസ്ഥിതാഖ്യം ,തജജ ഗഗം,TJJGG
പൃഥ്‌വി ,നനഭ  ഗഗം,NNBGG
ചിത്രവൃത്താ ,നനത  ഗഗം,NNTGG
വൃത്താ,നനസ ഗഗം,NNSGG
ഭദ്രക ,നനര ലഗം,NNRLG
ഉപസ്ഥിത ,ജസത ഗഗം,JSTGG
ചാരണ ഗീതം ,ഭഭഭ ഗഗം,BBBGG
രമണം ,നനന ലഗം,NNNLG
ശുഭജാതം ,നനഭ ഗഗം,NNBGG
ഗുരു ,ഭസന  ലഗം,BSNLG
ധരണി ,സസന  ലഗം,SSNLG
ജലധര നീലം ,നജന ഗഗം,NGNGG
ശുഭചരിതം,സജന ലഗം,SJNLG
വംശസ്ഥ,ജത ജരം ,JTJR
ഇന്ദ്രവംശ ,തത ജരം ,TTJR
ദ്രുതവിളംബിതം ,നഭ ഭരം ,NBBR
പ്രമിതാക്ഷര ,സജ സസം ,SJSS
തോടകം ,സസ സസം,SSSS
ഭുജംഗപ്രയാതം,യയ യയം,YYYY
മൗക്തിക ദാമ ,ജജ ജജം ,JJJJ
സ്രഗ്വിണി ,രര രരം ,RRRR
വൈശ്വദേവി ,മമ യയം,MMYY
മണിമാല ,തയ തയം ,TYTY
പ്രഭ( ഗൗരി/പ്രമുദിതവദന),നന രരം ,NNRR
കുസുമവിചിത ,നയ നയം ,NYNY
ജലോദ്ധതഗതി ,ജസ ജസം,JSJS
പുടമ ,നന മയം ,NNMY
പ്രിയംവദ ,നഭ ജരം ,NBJR
ലളിതാഖ്യ  ,തഭ ജരം ,TBJR
ജലധരമാല  ,മഭ സമം ,MBSM
നവമാലിക ,നജ ഭയം ,NJBY
മാനിനി ,നജ ജരം ,NJJR
സുമംഗലാഭിതം ,ജഭ ജരം ,JBJR
പഞ്ചചാമരം ,ജഭ ജരം,JBJR
ലളിതപദം ,നജ ജയം,NJJY
ചന്ദ്രവർത്മ  ,രന ഭസം ,RNBS
ഉജ്ജ്വല ,നന ഭരം  ,NNBR
ലലന ,ഭമ സസം ,BMSS
ദ്രുതപാദം ,നഭ നയം ,NBNY
ദ്രുതഗതി ,നഭ ജയം,NBJY
കന്യാ ,ഭസ നയം ,BSNY
കോകരതാഖ്യ,സയ സയം ,SYSY
സുഭഗ ,ഭത നസം ,BTNS
ലളിത ,നന മരം,NNMR
ജ്വാല ,നന ഭമം  ,NNBM
ഉജ്വല ,ഭഭ നയം,BBNY
സുഭതി ,ഭസ ജസം ,BSJS
അതിരുചിരം  ,നജ നസം ,NJNS
പ്രഹർഷിണി ,മനജ രഗം ,MNJRG
മഞ്ജുഭാഷിണി ,സജസ ജഗം ,SJSJG
അതിരുചിരം  ,ജഭസ ജഗം ,JBSJG
ക്ഷമ,നന തതം   ,NNTT
മത്തമയൂരം ,മത സഗം ,MTSG
ചഞ്ചരീകാവലി  ,യമര രഗം,YMRRG
ചന്ദ്രലേഖാഖ്യ ,നസര രഗം ,NSRRG
വിദ്യുത് ,നനത തഗം ,NNTTG
ഉർവശി ,നതത തഗം ,NTTTG
സരസാഖ്യ ,സജസ സഗം ,SJSSG
മത്തകാശിനി ,ജതസ ജഗം ,JTSJG
പ്രഭദ്രകം ,നജസ ജഗം ,NJSJG
ധരാനന്ദിനി ,യജസ സഗം,YJSSG
അഘ ഹരണം ,നനന നഗം ,NNNNG
നവ താരുണ്യം ,നനന യഗം ,NNNYG
ലളിത ശരീരം ,നജന സഗം,NJNSG
രമണം ,നനഭ ഭഗം ,NNBBG
രജനി ,ഭസ നനഗം ,BSNNG
ദൂഷണഹരണം ,സനജ നഗം ,SNJNG
വസുധ ,സഭന ജലം ,SBNJL
അവനി ,സസന  ജലം,SSNJL
മംഗളഫലകം ,നനത നഗം ,NNTNG
വസന്തതിലകം ,തഭജ ജഗഗം ,TBJJGG
ഇന്ദുവന്ദന ,ഭജസ നഗഗം ,NBSNGG
പ്രമദ ,നജഭ ജലഗം ,NJBJLG
സുകേസരം,നരന രലഗം ,NRNRLG
അസംബാധാ ,മതന സഗംഗം ,MTNSGG
അപരാജിത ,നനര സലഗം ,NNRSLG
അലോല ,മസസ മഗഗം ,MSSMGG
പ്രഹരണ തിലകം ,നനഭ നലഗം ,NNBNLG
കുമാരി ,നജഭ ജഗഗം ,NJBJGG
പത്ഥ്യാ(മഞ്ജരി),സജസ യലഗം ,SJSYLG
മദാനാർത്ത ,തയസ ഭഗഗം ,TYSBGG
ഗിരിശിഖം ,ഭനന നലഗം ,BNNNLG
സരോരുഹ  ,നജന സലലം ,NJNSLL
കമലാകര ,നനഭ സലലം,NNBSLL
കരുണാകര ,സനന നലഗം ,SNNNLG
വലജ ,നജന നലഗം ,NJNNLG
ശുഭഗതി ,സനജം നലലം ,SNJNLL
മാലിനി ,നനമ യയം  ,NNMYY
ഉപമാലിനി ,നനത ഭരം ,NNTBR
ശശികലാ ,നനന നസം ,NNNNS
കാമക്രീഡാ ,മമമ മമം ,MMMMM
പ്രഭദ്രകം ,നജഭ  ജരം  ,NJBJR
തേലാ ,സജന നയം  ,SJNNY
ചന്ദ്രലേഖാ ,മരമ യയം ,MRMYY
ചന്ദ്രരേഖാഖ്യ,രരര രരം ,RRRRR
ദളം ,സജന നസം ,SJNNS
സംസാരം ,നയന യമം ,NYNYM
സകലകല ,മഭസ ഭസം ,MBSBS
സാരസകലിക,മതന ഭസം ,MTNBS
മരതകനീല ,സതന തയം  ,STNTY
പഞ്ച ചാമരം ,ജര  ജര ജഗം ,JRJRJG
മിഹാശ്വതി ,ഭഭ ഭഭ ഭഗം,BBBBBG
ശൈല ശിഖ ,ഭര നഭ ഭഗം ,BRNBBG
ഛാന്ദസി ,രര രര രഗം  ,RRRRRG
ധീര ലളിത  ,ഭര നര നഗം,BRNRNG
വാണിനീതി( ഭാരതി),നജ ഭജ രഗം ,NJBJRG
പരിമളം ,നന നന ഗം ,NNNNG
രുചിരതരം ,മഭ നജ നഗം ,MBNJNG
സാരസനയന  ,നന നത മഗം ,NNNTMG
