formula,Density Score,Peak Score
SrLi4N2,2.241,1.822
LiLuPt2,2.102,2.441
Ca3Au,1.765,-0.481
LiB,1.653,1.793
Li3Au,1.651,-0.277
Sr3MnN3,1.638,1.857
Rb3Mg,1.583,-0.213
LiErGe,1.553,0.019
Li7Sn2,1.547,-0.108
Sr6Sn2NO,1.499,0.348
Ca3BiSb,1.331,-0.154
Yb2SbAu,1.104,0.120
Er2ZnRu,1.087,-0.080
HoTmMg2,1.065,0.251
LiTmIn2,1.025,0.360
Sm2AgSn,1.005,0.155
Yb2AgSn,1.001,0.110
Nd2CdIn,0.981,0.287
CaSmZn2,0.976,0.136
Pr2ZnHg,0.932,0.082
LiTmHg2,0.865,-0.422
Li4UO5,0.777,-0.171
NdTmTl2,0.756,-0.141
ErB2Rh2C,0.665,1.062
Al(SnO2)2,0.590,1.575
Ca2MnO4,0.588,2.091
Ga2CoS4,0.552,1.389
Cr2FeS4,0.493,1.210
CrPO4,0.481,0.649
Cs2CrCl4,0.420,1.340
TbGaRh2,0.381,1.273
TmHfRu2,0.366,0.476
MnAlRh2,0.337,0.595
BeGaRh2,0.327,0.565
Hf4N3,0.302,0.284
LiAlPt2,0.275,1.222
Ho2CF2,0.267,0.513
Mn3O4,0.259,0.593
ScNbOs2,0.259,1.013
CrGaP2,0.176,0.483
SF6,0.176,0.062
U2CrN3,0.170,1.104
NdBPd3,0.163,0.199
ThSiO4,0.120,0.003
MgSiN2,0.114,0.890
Nd(CoSi)2,0.110,0.693
CeNiC2,0.106,0.019
Ti2GaC,0.053,-0.155
MnSbPd2,0.031,-0.045
Ho2Cr2C3,0.015,0.502
CaCu2O3,-0.015,0.589
Na2Hf2O5,-0.046,0.370
Sm2Zr2O7,-0.058,0.515
P2Pb2O7,-0.071,-0.136
Fe2W,-0.110,-0.434
Rb2Cr(BrCl)2,-0.114,-0.081
Pr(CoSi)2,-0.116,0.031
V2C,-0.122,-0.554
CeIr2,-0.145,-0.569
CaPd3O4,-0.167,-0.511
Mg(BeN)2,-0.175,0.162
Ho(SiRu)2,-0.191,-0.988
DyIr3,-0.197,-0.400
ZrH3,-0.206,0.072
HfPbO3,-0.212,-1.583
P3N5,-0.214,0.008
Cs2RbInF6,-0.258,-0.258
RbSbO3,-0.279,0.046
MgS,-0.282,-0.371
CuAs,-0.293,0.327
Fe3Sn2,-0.296,0.192
Sc2CoRu,-0.320,-0.490
LiZnAu2,-0.373,-0.003
TiBiRh,-0.373,-1.750
SmMn2O5,-0.408,-1.684
ZnCo3C,-0.423,-0.576
BaTiS3,-0.424,-0.582
K2SnCl6,-0.433,-0.193
Sc3AlC,-0.450,-1.262
Ni2Ge,-0.461,-0.421
Cs2PbCl6,-0.466,-0.272
DyCuSeO,-0.479,-0.800
TbNi2,-0.532,-0.406
YNiSb,-0.533,-0.234
AsPdSe,-0.576,-0.763
TaNiGe,-0.619,-2.093
LaCu2,-0.628,-0.710
YMg2,-0.640,0.226
BaTe2,-0.679,-0.998
ErCdCu4,-0.682,-0.821
Sr(ZnGe)2,-0.733,-1.117
ZrGeTe,-0.764,-1.671
Sc,-0.764,-1.964
Sc2CdAg,-0.800,-1.709
Ba(CdAs)2,-0.815,-1.649
In2Se3,-0.863,-2.345
Cu3P,-0.908,-1.709
CdCl2,-0.954,-2.491
HoCd3,-1.141,-1.485
TbCd3,-1.159,-1.479
